text,author
"A restlessness, a fear of what was about to betide, a doubt as to Raymond's purposes, urged me to return without delay to his quarters.",MWS
"One only condition I would make, that you do nothing without his concurrence.""",MWS
"Have you got him here?""",EAP
"I would in vain attempt to portray the majesty, the quiet ease, of her demeanor, or the incomprehensible lightness and elasticity of her footfall.",EAP
"On the fourth her corpse was found floating in the Seine, near the shore which is opposite the Quartier of the Rue Saint Andree, and at a point not very far distant from the secluded neighborhood of the Barrière du Roule.",EAP
To escape these evils was the aim and scope of all our exertions.,MWS
"No one who knows me will doubt that the duty thus self imposed will be executed to the best of my ability, with all that rigid impartiality, all that cautious examination into facts, and diligent collation of authorities, which should ever distinguish him who aspires to the title of historian.",EAP
"By the time, however, that the fog had thoroughly disappeared, the sun had made its way down behind the gentle hills, and thence, as if with a slight chassez to the south, had come again fully into sight, glaring with a purplish lustre through a chasm that entered the valley from the west.",EAP
"We visited the wondrous cave and the little cabinets of natural history, where the curiosities are disposed in the same manner as in the collections at Servox and Chamounix.",MWS
"The Frenchman followed in despair; the ape, razor still in hand, occasionally stopping to look back and gesticulate at its pursuer, until the latter had nearly come up with it.",EAP
"In scrutinizing the edges of the paper, I observed them to be more chafed than seemed necessary.",EAP
"She drifted towards the harbour, and was stranded on the sands at the entrance.",MWS
"Very little concerning this skeleton has leaked out, but the workmen who found it whisper in shocked tones about the long, brownish hairs with which it was associated.",HPL
"Ever since his son had commenced to grow out of infancy he had liked his home less and less, till at last he had seemed to dread it.",HPL
"Come then, no more delay, thou tardy one Behold the pleasant potion Look, I am a spirit of good, and not a human maid that invites thee, and with winning accents, oh, that they would win thee says, Come and drink.""",MWS
The light seemed now to be more like a rain or hail of small violet particles than like a continuous beam.,HPL
To queries put to him by any other person than myself he seemed utterly insensible although I endeavored to place each member of the company in mesmeric rapport with him.,EAP
"It is still spectral, but its strangeness fascinates me, and I shall find mixed with my relief a queer regret when it is torn down to make way for a tawdry shop or vulgar apartment building.",HPL
I wish I could believe that doctor.,HPL
We do not believe that any reasonable objections can be urged against this solution of the Automaton Chess Player.,EAP
"He passed his younger days perpetually occupied by the affairs of his country; a variety of circumstances had prevented his marrying early, nor was it until the decline of life that he became a husband and the father of a family.",MWS
"How absurd in these people, then, to persist in putting faith in ""axioms"" as immutable bases of Truth But even out of the mouths of their soundest reasoners it is easy to demonstrate the futility, the impalpability of their axioms in general.",EAP
What I saw what I heard what I felt what I thought had about it nothing of the unmistakable idiosyncrasy of the dream.,EAP
"This is somewhat thick, and so are her ankles, but she has a fine pair of green stockings to cover them.",EAP
"It was a key a guide to certain gateways and transitions of which mystics have dreamed and whispered since the race was young, and which lead to freedoms and discoveries beyond the three dimensions and realms of life and matter that we know.",HPL
"""After some weeks my wound healed, and I continued my journey.",MWS
"About eight inches immediately below these ropes, and four feet from the bottom of the car I fastened another shelf but made of thin plank, being the only similar piece of wood I had.",EAP
"I myself had just alighted from a litter, which the Illyrian bearers seemed to have brought in some haste from Calagurris, across the Iberus to the southward.",HPL
"Remember me with affection, should you never hear from me again.",MWS
"In his amendment he proposed, that an exception should be made in the bill in favour of any person who claimed the sovereign power in right of the earls of Windsor.",MWS
Armington helped Birch to the outside of a spare bed and sent his little son Edwin for Dr. Davis.,HPL
"In five minutes the whole sea, as far as Vurrgh, was lashed into ungovernable fury; but it was between Moskoe and the coast that the main uproar held its sway.",EAP
"""All men hate the wretched; how, then, must I be hated, who am miserable beyond all living things Yet you, my creator, detest and spurn me, thy creature, to whom thou art bound by ties only dissoluble by the annihilation of one of us.",MWS
"A full thousand cubits high stood the greatest among them, wherein the high priests dwelt with a magnificence scarce less than that of the kings.",HPL
"From a wide circle of ten scaffolds set up at regular intervals with the flame girt monolith as a centre hung, head downward, the oddly marred bodies of the helpless squatters who had disappeared.",HPL
"From that memorable night, I dismissed forever my charnel apprehensions, and with them vanished the cataleptic disorder, of which, perhaps, they had been less the consequence than the cause.",EAP
"The wind grew stronger, and the air was filled with the lethal, charnel odour of plague stricken towns and uncovered cemeteries.",HPL
Life was then brilliant; I began to learn to hope and what brings a more bitter despair to the heart than hope destroyed?,MWS
"Poor and rich were now equal, or rather the poor were the superior, since they entered on such tasks with alacrity and experience; while ignorance, inaptitude, and habits of repose, rendered them fatiguing to the luxurious, galling to the proud, disgustful to all whose minds, bent on intellectual improvement, held it their dearest privilege to be exempt from attending to mere animal wants.",MWS
I can just remember the titles of some of the works.,EAP
"That, you remember, was when Minot cut him.",HPL
"Now that I am arrived at its base, my pinions are furled, the mighty stairs are before me, and step by step I must ascend the wondrous fane Speak What door is opened?",MWS
"You will smile at my allusion, but I will disclose a secret.",MWS
"The word ""husband"" seemed forever to use one of her own delicate expressions forever ""on the tip of her tongue.""",EAP
This was my first love so I felt it to be.,EAP
"Having related all that was necessary for the fullest judicial conviction, I fell prostrate in a swoon.",EAP
"""Nor is it to be thought,"" ran the text as Armitage mentally translated it, ""that man is either the oldest or the last of earth's masters, or that the common bulk of life and substance walks alone.",HPL
My plan was exceedingly simple.,EAP
"It now only remains to give you the full translation of the characters upon the parchment, as unriddled.",EAP
"""Now if you're game, I'll take you there tonight.",HPL
"I passed by a group of these terrorists, in a lane in the direct road to the hut.",MWS
I left a guard to protect this treasure of dust; and ordered perpetual torches to be burned around.,MWS
"I had long before resolved to limit my observations to architecture alone, and I was even then hurrying toward the Square in an effort to get quick transportation out of this festering city of death and decay; but the sight of old Zadok Allen set up new currents in my mind and made me slacken my pace uncertainly.",HPL
Again her chill limbs touched me as a torpedo; and I shuddered in sympathy with her pain and fright.,MWS
"""It may appear invidious in me, Miss Psyche Zenobia, to refer you to any article, or set of articles, in the way of model or study, yet perhaps I may as well call your attention to a few cases.",EAP
"Oft when I have listened with gasping attention for the sound of the ocean mingled with my father's groans; and then wept untill my strength was gone and I was calm and faint, when I have recollected all this I have asked myself if this were not madness.",MWS
"How it had ever come into the possession of a common sailor, neither he nor I could imagine.",HPL
"I knew one about eight years of age, whose success at guessing in the game of 'even and odd' attracted universal admiration.",EAP
"The first and most obvious inference is, that so strong a light is requisite to enable the man within to see through the transparent material probably fine gauze of which the breast of the Turk is composed.",EAP
The first comer now went to a cupboard on the inner side of the room and extracted a coil of rope.,HPL
She was half mad from the effects of uncontrollable agitation.,MWS
"""You are all mad every one of you.",EAP
"When she perceived the wild or pathetic appeal of his expressive countenance, she would relent, and for a while resume her ancient kindness.",MWS
"As to personal endowments, I am by no means deficient.",EAP
"With angry gestures he leapt from his horse, and seizing a hatchet that hung from his saddle bow, went with the apparent intention of battering down the opposing gate.",MWS
"The father of Adrian yielded up the already broken sceptre of England; but I will rear the fallen plant, join its dismembered frame, and exalt it above all the flowers of the field.",MWS
"The visiter, shooting suddenly into this bay from out the gloom of the ravine, is delighted but astounded by the full orb of the declining sun, which he had supposed to be already far below the horizon, but which now confronts him, and forms the sole termination of an otherwise limitless vista seen through another chasm like rift in the hills.",EAP
"Mumbled tales of the weird rites and godless revels of bygone years in the ancient hall gave to me a new and potent interest in the tomb, before whose door I would sit for hours at a time each day.",HPL
"While such discussions were going on, their subject gradually approached, growing larger in apparent diameter, and of a more brilliant lustre.",EAP
"Death, which had in our younger days walked the earth like ""a thief that comes in the night,"" now, rising from his subterranean vault, girt with power, with dark banner floating, came a conqueror.",MWS
We had prepared a banquet for our guests in the lower hall of the castle; and thither Idris and I repaired to receive and entertain the few that remained.,MWS
Something in the air of the hoary town worked obscurely on his imagination.,HPL
"A very large mastiff seemed to be in vigilant attendance upon these animals, each and all.",EAP
"Other specimens the youth had not seen, though many were rumoured to exist around Innsmouth.",HPL
"Pronounced well by his physician, he returned to his quarters in three days; but to Professor Angell he was of no further assistance.",HPL
"Dr. Johnson was second to no Man in the Pains he took to revise the bad Verses of others; indeed, 'tis said that in the book of poor blind old Mrs. Williams, there are scarce two lines which are not the Doctor's.",HPL
A truce was concluded between the Greeks and Turks.,MWS
"But when questioned, Slater relapsed into the habitual vacancy of the mountaineer, and only reiterated what he had said on the preceding day.",HPL
"But he was unmoved, and cried: ""If I am mad, it is mercy May the gods pity the man who in his callousness can remain sane to the hideous end Come and be mad whilst he still calls with mercy"" This outburst seemed to relieve a pressure in his brain; for as he finished he grew much milder, asking me to let him depart alone if I would not accompany him.",HPL
"We, however, lay to until the morning, fearing to encounter in the dark those large loose masses which float about after the breaking up of the ice.",MWS
"The first coup d'oeil, as the sun slid into the position described, impressed me very much as I have been impressed, when a boy, by the concluding scene of some well arranged theatrical spectacle or melodrama.",EAP
"Then everyone noticed a strangely unseasonable noise in the deep valley behind, and even in the underbrush of Sentinel Hill itself.",HPL
"He soon reached the summit, and disappeared.",MWS
"Now the net work was not permanently fastened to the hoop, but attached by a series of running loops or nooses.",EAP
Then on his word and will depended my own happiness the fate of all dear to me.,MWS
"Touching the derivation of the name Vondervotteimittiss, I confess myself, with sorrow, equally at fault.",EAP
Ef they dun't they'll kinder quiet daown like.,HPL
